texto,calificacion,lugar,categoria,fuente,idioma_comentario,comentarios_espanol,emojis
"Very nice breakfast... staff friendly.  This is an inexpensive nice hotel very close to everything in Fortuna and surrounding Arenal area.  The beds were comfortable, bathrooms nice, decor lovely.  Nice pool and ""play area"" (pool table, etc). It would be nice to have a restaurant - not just for breakfast.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Muy buen desayuno... personal amable.  Este es un bonito hotel económico muy cerca de todo en Fortuna y los alrededores del Arenal.  Las camas eran cómodas, los baños bonitos y la decoración preciosa.  Bonita piscina y ""zona de juegos"" (mesa de billar, etc.). Sería bueno tener un restaurante, no sólo para el desayuno.",
"Cabin with hammock in the amazing garden was great. Staff very friendly. Breakfast (not included) was great as well. Close to spa’s and hikes. Only option was to pay in cash, that was not ideal for us.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Cabaña con hamaca en el increíble jardín fue genial. El personal es muy amable. El desayuno (no incluido) también era genial. Cerca de spa y caminatas. La única opción era pagar en efectivo, eso no era lo ideal para nosotros.",
Comfortable rooms nice landscaping probably as good as you will get get in Arenal,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Habitaciones cómodas, bonitos jardines, probablemente tan buenos como los que encontrarás en Arenal.",
"Nice property with a small walking trail through the grounds, breakfast was descent for 7$. Staff were friendly, pool area is quite nice with a small games room and lounge areas in several places around the property. we would definetly stay again Not much not to like, cabins are not very sound proof.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Bonita propiedad con un pequeño sendero para caminar por los jardines, el desayuno era decente por 7$. El personal era amable, el área de la piscina es bastante agradable con una pequeña sala de juegos y áreas de descanso en varios lugares alrededor de la propiedad. Sin duda nos alojaríamos de nuevo. No hay mucho que no me guste, las cabañas no están muy insonorizadas.",
The grounds and walkways were very attractive and well located. We enjoyed the rocking chairs for sitting outside our room. It was a very attractive setting. The room was clean and well maintained. The hot water was not reliable.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Los jardines y los pasillos eran muy atractivos y estaban bien ubicados. Disfrutamos de las mecedoras para sentarnos fuera de nuestra habitación. Era un escenario muy atractivo. La habitación estaba limpia y bien mantenida. El agua caliente no era confiable.,
Beautiful gardens and friendly staff,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Hermosos jardines y personal amable.,
"The gardens are spectacular.  The birding here is one of the highlights.  The pool was clean, the games room operational, rooms were clean, location excellent..:we would recommend this place to our friends.  You can tell they put a lot of their profits back into the property. Would be nice to have breakfast included.  The drain in the shower did not drain well.  Oh, and they NEED to add another plug in in the kitchen…no way yea people and coffee people should be battling for the power early in the morning.  Small things though.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Los jardines son espectaculares.  La observación de aves aquí es uno de los aspectos más destacados.  La piscina estaba limpia, la sala de juegos operativa, las habitaciones estaban limpias, la ubicación excelente... Recomendaríamos este lugar a nuestros amigos.  Se nota que devolvieron muchas de sus ganancias a la propiedad. Sería bueno tener el desayuno incluido.  El desagüe de la ducha no drenaba bien.  Ah, y NECESITAN agregar otro enchufe en la cocina... de ninguna manera, sí, la gente y la gente del café deberían estar luchando por el poder temprano en la mañana.  Aunque pequeñas cosas.",
"Beautiful grounds and exceptionally friendly and helpful staff. A good location for meeting other travelers. The layout and Atmosphere were conducive to engaging with everyone. Breakfast was not included and was ok, with mediocre coffee.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Hermosos jardines y personal excepcionalmente amable y servicial. Un buen lugar para conocer a otros viajeros. El diseño y la atmósfera propiciaron la interacción con todos. El desayuno no estaba incluido y estaba bien, con café mediocre.",
"Staff were friendly and attentive. The room was clean. We liked the game area, and the children loved the pool. Wifi was very bad. It was a very slow wifi connection that often didn't work.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,El personal fue amable y atento. La habitación estaba limpia. Nos gustó la zona de juegos y a los niños les encantó la piscina. El wifi era muy malo. Era una conexión wifi muy lenta que muchas veces no funcionaba.,
The grounds and room were super clean. We also had access to a kitchen though it is meant for prep as there is no way to cook. Everything was well maintained.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Los jardines y la habitación estaban súper limpios. También teníamos acceso a una cocina, aunque está destinada a la preparación, ya que no hay forma de cocinar. Todo estaba bien mantenido.",
"Hotel is fabulous! The photos don’t do this place enough justice! Everything is perfect here the wildlife, plants, pool, staff, game, rooms and location.  This hotel is located 5 mins walk from the bars and restaurants, which keeps the noise to a minimum. Staff are super friendly and cannot do enough for you! The rooms have every little detail covered! I don’t understand how they could have any negative comments! This is super cheap for the hotel is it!",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"¡El hotel es fabuloso! ¡Las fotos no le hacen suficiente justicia a este lugar! Todo es perfecto aquí: vida silvestre, plantas, piscina, personal, juegos, habitaciones y ubicación.  Este hotel está situado a 5 minutos a pie de bares y restaurantes, lo que mantiene el ruido al mínimo. El personal es muy amable y no puede hacer más por ti. ¡Las habitaciones tienen cada pequeño detalle cubierto! ¡No entiendo cómo pueden tener comentarios negativos! ¡Esto es súper barato para el hotel!",
"The property was beautiful.  Stunning view from our window of the volcano. Many colourful plants, a faux jungle around the walkways and a beautiful pool area.  The rooms were large, spotless and were exceptionally comfortable.  It all felt very safe and relaxing. There was a free tea/coffee kitchen which was a thoughtful touch (and the coffee was gorgeous!). The staff were very attentive and helpful with booking activities. I was also lent their sewing kit to fix a broken seam on my backpack. Not being warned that the property was 100% cash when we booked.  We didn’t bring enough on us for the stay and it created a cash management issue. 
Breakfast was also unavailable due to the (sole?) cook being away for 2 days. Not ideal when activities begin early and days are high intensity.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"La propiedad era hermosa.  Impresionante vista desde nuestra ventana del volcán. Muchas plantas coloridas, una falsa jungla alrededor de los pasillos y una hermosa área de piscina.  Las habitaciones eran grandes, estaban impecables y eran excepcionalmente cómodas.  Todo se sintió muy seguro y relajante. Había una cocina con té y café gratis, lo cual fue un toque atento (¡y el café estaba delicioso!). El personal fue muy atento y servicial con la reserva de actividades. También me prestaron su kit de costura para arreglar una costura rota en mi mochila. No nos advirtieron que la propiedad era 100% en efectivo cuando hicimos la reserva.  No trajimos lo suficiente para la estadía y eso creó un problema de administración de efectivo. 
El desayuno tampoco estaba disponible debido a que el (¿único?) cocinero estuvo ausente durante 2 días. No es ideal cuando las actividades comienzan temprano y los días son de alta intensidad.",
Beautiful setting Breakfast was not complimentary and was not worth the $7.00,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Hermoso entorno El desayuno no era gratuito y no valía los $ 7,00",
"Absolutely beautiful place. The bungalows are set in the most amazing gardens. Each bungalow is very well laid out, loved sitting in the veranda looking at the beautiful flowers and plants and observing the wonderful hummingbirds who constantly fly by. There is a communal kitchen with free tea and coffee but breakfast is also available which was $7 and delicious. Also has a lovely pool and jacuzzi. We had 4 nights here and I honestly do not think we could have found a nicer place to stay in La Fortuna. A special mention to Elisabeth at Reception, she was such a character and always so helpful and friendly. Nothing",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Absolutely beautiful place. Los bungalows están ubicados en los jardines más impresionantes. Cada bungalow está muy bien diseñado, me encanta sentarme en la terraza mirando las hermosas flores y plantas y observar los maravillosos colibríes que pasan volando constantemente. Hay una cocina común con té y café gratis, pero también se ofrece desayuno, que cuesta $ 7 y es delicioso. Also has a lovely pool and jacuzzi. Pasamos 4 noches aquí y, sinceramente, no creo que hubiéramos podido encontrar un lugar mejor para hospedarnos en La Fortuna. Una mención especial para Elisabeth en la recepción, ella fue todo un personaje y siempre muy servicial y amigable. Nada",
This property is beautiful. The staff is wonderful. Good breakfast. Lovely rooms.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Esta propiedad es hermosa. El personal es maravilloso. Buen desayuno. Preciosas habitaciones.,
"Would happily return and recommend to anyone looking for an oasis on the outskirts of the town. The gardens were beautifully maintained and we saw parrots, hummingbirds and loads of other birds each day. It's a good 2km downhill walk to the town on an uneven footpath, which is fine if you've no mobility issues.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Con mucho gusto volvería y lo recomendaría a cualquiera que busque un oasis en las afueras de la ciudad. Los jardines estaban muy bien cuidados y vimos loros, colibríes y muchas otras aves cada día. Es una buena caminata cuesta abajo de 2 km hasta la ciudad por un sendero irregular, lo cual está bien si no tienes problemas de movilidad.",
Beautiful garden with spacious Bungalows. Ours also had a big terrace with rocking chairs. Bathroom is quite big and they also provide extra blankets in case it gets cold during the night. Its at the main street but you can’t hear the traffic at all once the gate closes behind you.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Hermoso jardín con amplios Bungalows. La nuestra también tenía una gran terraza con mecedoras. El baño es bastante grande y también proporcionan mantas adicionales en caso de que haga frío durante la noche. Está en la calle principal, pero no se oye el tráfico una vez que la puerta se cierra detrás de ti.",
"La Roca Negra is like staying in paradise! The wildlife is amazing, particularly the birds. I saw dozens of species, just walking around, including many humming birds, tanegers, and a white hawk. I also spotted a family of agouti. When the weather clears there is also a view of the volcano. Not much not to like.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"¡La Roca Negra es como estar en el paraíso! La vida salvaje es asombrosa, especialmente las aves. Vi docenas de especies, simplemente caminando, incluidos muchos colibríes, tangaras y un halcón blanco. También vi una familia de agutíes. Cuando el clima mejora también se puede ver el volcán. No hay mucho que no me guste.",
Location was excellent… peaceful& quiet respite between adventures… optional breakfast was good and inexpensive… Towels & some blankets had a musty odor… Freshening up laundry would improve the experience,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,La ubicación era excelente… un respiro tranquilo y silencioso entre aventuras… el desayuno opcional era bueno y económico… Las toallas y algunas mantas tenían un olor a humedad… Refrescar la ropa mejoraría la experiencia,
"We loved it! The hotel was super beautiful, clean, and well-organized. The variety of board games was great because we had so much fun, as well as with the ping-pong table and foosball they have. The size of the room was perfect too. We had an amazing vacation! We requested that our room be cleaned, but unfortunately, when we returned from our tour, it was still not tidy. :(",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"¡Nos encantó! El hotel era súper bonito, limpio y bien organizado. La variedad de juegos de mesa fue genial porque nos divertimos muchísimo, así como con la mesa de ping-pong y el futbolín que tienen. El tamaño de la habitación también era perfecto. ¡Tuvimos unas vacaciones increíbles! Solicitamos que limpiaran nuestra habitación, pero desafortunadamente, cuando regresamos de nuestro recorrido, todavía no estaba ordenada. :(",
"Lovely, modern large room and bathroom. Beautiful tropical gardens, great pool with hot tub, plus fun games room. Helpful friendly staff, near lots of restaurants. We didn’t have a car, but it was very easy and to get an Uber and lots of excursions/attractions will pick up up. It’s a little out of town, although there are restaurants locally. It meant it was a very relaxing place to stay though - central La Fortuna was very busy.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Preciosa y moderna habitación grande y baño. Hermosos jardines tropicales, gran piscina con jacuzzi y divertida sala de juegos. Personal amable y servicial, cerca de muchos restaurantes. No teníamos automóvil, pero fue muy fácil y conseguir un Uber y muchas excursiones/atracciones se activarán. Está un poco alejado de la ciudad, aunque hay restaurantes locales. Significaba que era un lugar muy relajante donde alojarse: el centro de La Fortuna estaba muy ocupado.",
Jacuzzi Not a lot of guests seemed to be social and actually use any of the cool facilities like the pool and game room. Weird.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Jacuzzi No muchos huéspedes parecían ser sociables y realmente usaran alguna de las fantásticas instalaciones como la piscina y la sala de juegos. Extraño.,
"The room and grounds were very beautiful. This exceeded our expectations. The location was also fantastic. The cost was 13% higher than the booking.com reservation confirmation. Additionally, the property only accepted cash payment which was not expected and a minor inconvenience.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"La habitación y los jardines eran muy bonitos. Esto superó nuestras expectativas. La ubicación también fue fantástica. El coste fue un 13% mayor que la confirmación de la reserva de booking.com. Además, la propiedad solo aceptó pagos en efectivo, lo cual no era lo esperado y representaba un inconveniente menor.",
Beautiful grounds. Modern and comfortable.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Hermosos jardines. Moderno y confortable.,
The host is very nice. The environment is very family friendly! The breakfast is good! Kids love it!,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,El anfitrión es muy agradable. ¡El ambiente es muy familiar! ¡El desayuno es bueno! ¡A los niños les encanta!,
"The breakfast, the view, the gardens, and the staff.  They were all lovely. The dehumidifier wasn't strong enough and the filter needed to be cleaned as it was blinking a red light that was very visible as we tried to sleep.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"El desayuno, la vista, los jardines y el personal.  Todos eran encantadores. El deshumidificador no era lo suficientemente potente y era necesario limpiar el filtro, ya que parpadeaba una luz roja que era muy visible cuando intentábamos dormir.",
"Absolutely amazing place. This was the best accomodation we had in Costa Rica. Nice, clean room surrounded by beautiful garden. The garden is full of beautiful, colourful flowers, bushes, trees and the peacocks complement it all perfectly. The staff was very friendly and helpful. Love it, love it, love it here.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Un lugar absolutamente increíble. Este fue el mejor alojamiento que tuvimos en Costa Rica. Bonita y limpia habitación rodeada de un hermoso jardín. El jardín está lleno de hermosas y coloridas flores, arbustos y árboles, y los pavos reales lo complementan todo a la perfección. El personal fue muy amable y servicial. Me encanta, me encanta, me encanta aquí.",
"Staff was very friendly. Our room was clean and we loved the hammock on the porch looking at the volcano. Close to food, you could walk or drive to another little section further down. Was in a good location!",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"El personal fue muy amable. Nuestra habitación estaba limpia y nos encantó la hamaca en el porche mirando al volcán. Cerca de la comida, puedes caminar o conducir hasta otra pequeña sección más abajo. ¡Estaba en una buena ubicación!",
The gardens and view are beautiful.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Los jardines y las vistas son hermosos.,
"Well located hotel with very clean rooms, we stayed in two rooms and most days ordered the breakfast which I thought good value for money in such a tourist town.  Nice pool, and great to have the game room on rainy days. Also front desk staff able to book some activities at discounted rates. Prepare to pay cash for your stay. Could be noisy from semi trucks braking outside  the main road but this was a common thing at all our hotels as trucks have no alternate routes.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Hotel bien ubicado con habitaciones muy limpias, nos hospedamos en dos habitaciones y la mayoría de los días pedimos el desayuno, lo cual me pareció una buena relación calidad-precio en una ciudad tan turística.  Bonita piscina y genial tener la sala de juegos en los días de lluvia. También el personal de recepción puede reservar algunas actividades a precios reducidos. Prepárese para pagar en efectivo por su estadía. Podría ser ruidoso por los camiones que frenan fuera de la carretera principal, pero esto era algo común en todos nuestros hoteles ya que los camiones no tienen rutas alternativas.",
Staff like Eugenia were caring and helpful. Personalized service. Beautiful amazing flowers in the garden and clean. Pillows were very comfortable Breakfast was ordinary,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,El personal como Eugenia fue atento y servicial. Servicio personalizado. Hermosas flores increíbles en el jardín y limpias. Las almohadas eran muy cómodas. El desayuno era normal.,
"The room was spacious and beautiful; the landscaping and flowers were fantastic; the patio was the best! We sat outside and watched the many birds and other critters that visited. We loved being in the cabins furthest away. Breakfasts were awesome; all the staff and especially Elizabeth and Eugenie were so helpful, gracious and enjoyable to be around.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"La habitación era espaciosa y hermosa; el paisaje y las flores eran fantásticos; ¡El patio era el mejor! Nos sentamos afuera y observamos las numerosas aves y otros bichos que nos visitaban. Nos encantó estar en las cabañas más alejadas. Los desayunos eran increíbles; Todo el personal y especialmente Elizabeth y Eugenie fueron muy serviciales, amables y agradables.",
Breakfast was very reasonably priced and tasty. The resort is beautiful. Cabins set amongst lovely plants and flowers. Lovely trail around the grounds. Lots of wildlife dog and two cats about. Two tricking chairs outside front with view of volcano La Fortuna road is very busy and noisy. Busier than the M25! Quite noisy at times,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,El desayuno tenía un precio muy razonable y era sabroso. El complejo es hermoso. Cabañas ubicadas entre hermosas plantas y flores. Precioso sendero por los jardines. Hay muchos perros salvajes y dos gatos. Dos sillas de engaño afuera frente con vista al volcán La Fortuna. La carretera es muy transitada y ruidosa. ¡Más concurrido que la M25! Bastante ruidoso a veces,
Beautiful property. Exceptionally clean. Pleasant and helpful staff.  Would recommend 100%,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Hermosa propiedad. Excepcionalmente limpio. Personal agradable y servicial.  Lo recomendaría 100%,
They accommodate our request for early checking. Great location,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Se adaptan a nuestra solicitud de verificación anticipada. Excelente ubicación,
"Loved the porch sitting area, enjoyed the peaceful setting.  Lots of birds. Walking distance to restaurants, grocery store. Pool table, ping pong table, etc  provided downtime entertainment.  Short drive to many tours, site seeing activities.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Me encantó la zona de estar del porche, disfruté del entorno tranquilo.  Muchos pájaros. A poca distancia de restaurantes y supermercados. Mesa de billar, mesa de ping pong, etc. proporcionaron entretenimiento durante el tiempo libre.  Corto viaje en automóvil a muchos recorridos y actividades de visitas turísticas.",
"Clean, perfect location and lovely hosts. Breakfast was super too!",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Limpio, ubicación perfecta y anfitriones encantadores. ¡El desayuno también estuvo genial!",
Roca Negra is beautiful! The staff is so friendly as our stay was extremely comfortable! Highly recommend for families especially. Breakfast was very good and reasonably priced. We loved our stay! The roosters start crowing very early in the morning so earplugs are recommended if you are not an early riser.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"¡Roca Negra es hermosa! El personal es muy amable ya que nuestra estancia fue extremadamente cómoda. Muy recomendable especialmente para familias. El desayuno era muy bueno y a un precio razonable. ¡Nos encantó nuestra estancia! Los gallos empiezan a cantar muy temprano en la mañana, por lo que se recomienda el uso de tapones para los oídos si no eres madrugador.",
"We were treated very nicely. We got tipps for activities, what to do.
The room was very nice, within the garden with many plants and flowers where you could see quite a few birds. The view of the volcano was nice, when it wasn't raining too hard.
There wasn't a breakfast option during our stay, but there were possibilities of getting breakfast - and also dinner - nearby, a few minutes by foot..",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Nos trataron muy bien. Recibimos consejos para actividades, qué hacer.
La habitación era muy bonita, dentro del jardín con muchas plantas y flores donde se podían ver bastantes pájaros. La vista del volcán era agradable, cuando no llovía demasiado.
No había opción de desayuno durante nuestra estancia, pero había posibilidades de desayunar - y también cenar - cerca, a pocos minutos a pie.",
Friendly staff. Very clean and well maintained. Delicious fresh breakfast. And an easy walk to shops and restaurants in town.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Personal amable. Muy limpio y bien mantenido. Delicioso desayuno fresco. Y a un corto paseo de las tiendas y restaurantes de la ciudad.,
"loved the pool, the accommodations, the breakfast, the walkways to the rooms with so many plants and birds along each side. it was very well situated for everything we needed and everywhere we wanted to go.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Me encantó la piscina, el alojamiento, el desayuno, los pasillos hacia las habitaciones con tantas plantas y pájaros a cada lado. estaba muy bien situado para todo lo que necesitábamos y donde queríamos ir.",
The living room outside with open 24 hours. Eugenia was an enthusiastic and very helpful host. We enjoyed the nice hot bubble tub late in the evening. The room where big and very comfortable with a nice porch to watch all the the birds in the garden. Great place!,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,El salón exterior con abierto las 24 horas. Eugenia fue una anfitriona entusiasta y muy servicial. Disfrutamos de la agradable bañera de burbujas caliente a última hora de la noche. La habitación era grande y muy cómoda con un bonito porche para observar todos los pájaros en el jardín. ¡Gran lugar!,
"Great location close to loads of restaurants and activity centres. 
Set in beautiful, lush surroundings.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Excelente ubicación cerca de muchos restaurantes y centros de actividades. 
Ubicado en un entorno hermoso y exuberante.",
"Gorgeous grounds with lots of little touches to make the place a wonderful hangout. We loved the reading and games books by the pool, the hot tub, and the plentiful garden work that brought in so much wildlife. I wish there was a sidewalk outside! It's on a pretty busy road. There are restaurants, a corner store, a laundry, and a few art galleries just minutes away by foot - but when it's muddy it can be pretty unpleasant trekking through the grass and unsafe walking on the road. This is of course not the property's fault.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Preciosos jardines con muchos pequeños detalles para hacer del lugar un lugar maravilloso para pasar el rato. Nos encantaron los libros de lectura y juegos junto a la piscina, el jacuzzi y el abundante trabajo de jardinería que atrajo tanta vida silvestre. ¡Ojalá hubiera una acera afuera! Está en una calle bastante transitada. Hay restaurantes, una tienda de la esquina, una lavandería y algunas galerías de arte a solo unos minutos a pie, pero cuando está embarrado puede ser bastante desagradable caminar por la hierba y caminar por la carretera. Por supuesto, esto no es culpa del establecimiento.",
Everything was perfect!,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,¡Todo fue perfecto!,
"A very warm welcome, thank you Elisabeth! Everybody was very nice. A paradise big garden with the view of animals and lots of different birds, beautiful flowers and trees and a walking trail to go around . We enjoyed a nice pool an jacuzzi. We liked our room with comfy beds and a nice terrace with views. We would like to come again! We highly recommend!",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Una bienvenida muy cálida, ¡gracias Elisabeth! Todos fueron muy amables. Un gran jardín paradisíaco con vista a animales y muchas aves diferentes, hermosas flores y árboles y un sendero para caminar. Disfrutamos de una bonita piscina y un jacuzzi. Nos gustó nuestra habitación con camas cómodas y una bonita terraza con vistas. ¡Nos gustaría volver! ¡Lo recomendamos encarecidamente!",
"Lovely swimming pool and we also enjoyed the games room playing table tennis, table football and pool.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Preciosa piscina y también disfrutamos de la sala de juegos jugando al ping-pong, al futbolín y al billar.",
Nothing to complain about.,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Nada de qué quejarse.,
"The hotel was really nice and good value for money but we didn't get chance to use the swimming pool unfortunately. The staff were really great and useful, it's a 15-20 walk into town which is fine in the day but we got taxis back.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"El hotel era realmente bonito y tenía una buena relación calidad-precio, pero lamentablemente no tuvimos la oportunidad de usar la piscina. El personal fue realmente excelente y útil, es un paseo de 15 a 20 minutos hasta la ciudad, lo cual está bien durante el día, pero cogimos taxis de regreso.",
"Nice hotel in lovely garden. Staff was nice and helpful. Rooms are clean. Lovely little pool. Expensive for what you get. Breakfast is expensive. Rooms are clean, but a bit dated. The hotel is just next to a busy road with a lot of traffic. There are not enough sunbeds near the pool.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Bonito hotel en un precioso jardín. El personal fue agradable y servicial. Las habitaciones están limpias. Pequeña y encantadora piscina. Caro para lo que obtienes. El desayuno es caro. Las habitaciones están limpias, pero un poco anticuadas. El hotel está justo al lado de una calle muy transitada con mucho tráfico. No hay suficientes tumbonas cerca de la piscina.",
"Very, nice friendly staff, swimming pool and jacuzzi.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Muy, personal amable y agradable, piscina y jacuzzi.",
"Lush, well maintained landscaping",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Paisaje exuberante y bien mantenido,
"The environment, with small houses disseminated among a :luxuriant tropical vegetation and the common places for having a coffee or playing, and a friendly staff Less rain but not in the hands of the hotel",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"El entorno, con pequeñas casas diseminadas entre una exuberante vegetación tropical y los lugares comunes para tomar un café o jugar, y un personal amable. Menos lluvia pero no en manos del hotel.",
"Very quiet and comfortable bed No, breakfast was offered while we were there since I think they wasn’t enough staff",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Cama muy tranquila y cómoda No, se ofreció desayuno mientras estuvimos allí ya que creo que no tenían suficiente personal.",
I LOVE THIS HOTEL! Waking up every morning and seeing the volcano just made my birthday trip even more special. I spent hours in the hammock just looking at the birds around me and the volcano! The pool was a great size and the hot tub was an added bonus. It is near all the tourist sites and lots of restaurants nearby. The tea and coffee facilities were great and the staff were so helpful and left me a little surprise in my room for my birthday. I would go back to this hotel in a heartbeat!,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,¡ME ENCANTA ESTE HOTEL! Despertar cada mañana y ver el volcán hizo que mi viaje de cumpleaños fuera aún más especial. ¡Pasé horas en la hamaca simplemente mirando los pájaros a mi alrededor y el volcán! La piscina era de gran tamaño y el jacuzzi era una ventaja adicional. Está cerca de todos los sitios turísticos y de muchos restaurantes cercanos. Las instalaciones para preparar té y café eran geniales y el personal fue muy servicial y me dejó una pequeña sorpresa en mi habitación para mi cumpleaños. ¡Volvería a este hotel en un abrir y cerrar de ojos!,
"The beauty of it, and all the greenery also only amenities Nothing",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"La belleza del mismo, y todo el verdor además solo comodidades Nada",
Very friendly and helpful stuff. Great accommodation with lovely view and a being pool. The breakfast was just a bit basic for the price,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Cosas muy amables y serviciales. Gran alojamiento con preciosas vistas y una piscina. El desayuno era un poco básico para el precio.,
Proximity to attractions and restaurants No dislikes,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Proximidad a atracciones y restaurantes. No me disgusta,
"This place was absolutely wonderful. We saw hummingbirds from our porch every morning, with beautiful volcano views. I was sad to leave.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Este lugar fue absolutamente maravilloso. Vimos colibríes desde nuestro porche todas las mañanas, con hermosas vistas del volcán. Me entristeció irme.",
Everything about this place was exactly what they said it would be and more . I will recommend this place to my friends and family .it was worth it and I can’t wait to go back. Thank you for a great experience. There was nothing wrong with this place I love it and can’t wait to go back,5,Hotel Roca Negra del Arenal,alojamiento,booking,en,Todo acerca de este lugar era exactamente lo que dijeron que sería y más. Recomendaré este lugar a mis amigos y familiares. Valió la pena y no puedo esperar a volver. Gracias por una gran experiencia. No había nada malo en este lugar. Me encanta y no puedo esperar a volver.,
"Close to La Fortuna and Arenal; my own bungalow with terrace overlooking the volcano and with a small flower garden. Very friendly staff.
Accepts paypal. Room is smaller than advertised. They probably counted bath and terrace also. Whirlpool will be heated on demand. Does not accept credit cards.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Cerca de La Fortuna y Arenal; Mi propio bungalow con terraza con vista al volcán y con un pequeño jardín de flores. Personal muy amable.
Acepta paypal. La habitación es más pequeña de lo anunciado. Probablemente también contaron el baño y la terraza. La bañera de hidromasaje se calentará según demanda. No acepta tarjetas de crédito.",
"Behind the entrance Gate you feel like you've entered a hobby farm..adorable cabins surrounded by beautiful flora. Chickens, ducks, geese roam around. Very private and great view if the volcano. Walking paths. Everything was good.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"Detrás de la puerta de entrada te sientes como si hubieras entrado en una granja de pasatiempos. Cabañas adorables rodeadas de hermosa flora. Pollos, patos y gansos deambulan. Vista muy privada y excelente del volcán. Senderos para caminar. Todo estuvo bien.",
"The tea/coffee area were great! And I loved the game area for kids. This was so helpful when it was raining! Breakfast was great as well. Sleeping would have been better with a screen on the window, so we could keep the windows open instead of using the AC, since it was a really nice temperature outside.",5,Hotel Roca Negra del Arenal,alojamiento,booking,en,"La zona de té/café era genial! Y me encantó la zona de juegos para niños. ¡Esto fue muy útil cuando estaba lloviendo! El desayuno también era genial. Dormir hubiera sido mejor con una pantalla en la ventana, así podríamos mantener las ventanas abiertas en lugar de usar el aire acondicionado, ya que afuera hacía una temperatura realmente agradable.",
